case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-time_boundary-0,time_boundary,dev,A2,PASS,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,0.005153833015356213,23,0,,,True
eval-time_boundary-0,time_boundary,dev,A5,PASS,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,0.005631957988953218,23,0,,,True
eval-time_boundary-0,time_boundary,dev,A3,DEFERRED_USER,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,,,,,,
eval-time_boundary-0,time_boundary,dev,A4,DEFERRED_USER,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,,,,,,
eval-time_boundary-1,time_boundary,dev,A0,PASS,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,0.003591834014514461,23,0,,,False
eval-time_boundary-1,time_boundary,dev,A1,PASS,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,0.003342208976391703,23,0,,,True
eval-time_boundary-1,time_boundary,dev,A2,PASS,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,0.005501374980667606,23,0,,,True
eval-time_boundary-1,time_boundary,dev,A5,PASS,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,0.005643875017995015,23,0,,,True
eval-time_boundary-1,time_boundary,dev,A3,DEFERRED_USER,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,,,,,,
eval-time_boundary-1,time_boundary,dev,A4,DEFERRED_USER,86384c7c13c0b27a865bc70cae5d80440dcf9ec7d9270d6e909eac03df14095e,,,,,,
eval-time_boundary-2,time_boundary,dev,A0,PASS,a3673a7b15cb54adb7e9e080707382c7be0a01ded72cc2c9edea00940c13d070,0.003594292007619515,23,0,,,False
